court,num_cases_20,num_cases_19,change_num_cases,pct_change_num_cases
"California Superior Court, Los Angeles County",8,31,-23,-74.19
"California Superior Court, San Francisco County",9,14,-5,-35.71
"California Superior Court, San Mateo County",2,0,2,Inf
"California Superior Court, Santa Clara County",2,4,-2,-50
"Court of Common Pleas of Pennsylvania, Allegheny County",3,37,-34,-91.89
"Court of Common Pleas of Pennsylvania, Delaware County",1,37,-36,-97.3
"Court of Common Pleas of Pennsylvania, Erie County",2,9,-7,-77.78
"Court of Common Pleas of Pennsylvania, Montgomery County",2,24,-22,-91.67
District of Columbia Superior Court,47,233,-186,-79.83
"Florida Circuit Court, Alachua County",28,151,-123,-81.46
"Florida Circuit Court, Brevard County",22,265,-243,-91.7
"Florida Circuit Court, Broward County",105,1521,-1416,-93.1
"Florida Circuit Court, Citrus County",9,41,-32,-78.05
"Florida Circuit Court, Highlands County",5,59,-54,-91.53
"Florida Circuit Court, Hillsborough County",262,360,-98,-27.22
"Florida Circuit Court, Lake County",27,154,-127,-82.47
"Florida Circuit Court, Lee County",91,299,-208,-69.57
"Florida Circuit Court, Manatee County",29,236,-207,-87.71
"Florida Circuit Court, Miami-Dade County",210,1923,-1713,-89.08
"Florida Circuit Court, Orange County",84,1055,-971,-92.04
"Florida Circuit Court, Palm Beach County",152,978,-826,-84.46
"Florida Circuit Court, Polk County",49,395,-346,-87.59
"Florida Circuit Court, Volusia County",38,329,-291,-88.45
Georgia State Court,2,23,-21,-91.3
"Georgia Superior Court, Fulton County",508,5302,-4794,-90.42
"Maryland Circuit Court, Baltimore City",3,10,-7,-70
"Minnesota District Court, Anoka County",2,141,-139,-98.58
"Minnesota District Court, Beltrami County",2,14,-12,-85.71
"Minnesota District Court, Blue Earth County",2,35,-33,-94.29
"Minnesota District Court, Clay County",3,30,-27,-90
"Minnesota District Court, Crow Wing County",1,25,-24,-96
"Minnesota District Court, Dakota County",10,207,-197,-95.17
"Minnesota District Court, Freeborn County",1,10,-9,-90
"Minnesota District Court, Isanti County",1,15,-14,-93.33
"Minnesota District Court, Itasca County",2,11,-9,-81.82
"Minnesota District Court, Kandiyohi County",1,11,-10,-90.91
"Minnesota District Court, Le Sueur County",1,3,-2,-66.67
"Minnesota District Court, Lyon County",1,4,-3,-75
"Minnesota District Court, Mille Lacs County",2,11,-9,-81.82
"Minnesota District Court, Mower County",2,15,-13,-86.67
"Minnesota District Court, Nicollet County",1,9,-8,-88.89
"Minnesota District Court, Olmsted County",2,47,-45,-95.74
"Minnesota District Court, Otter Tail County",3,12,-9,-75
"Minnesota District Court, Pine County",1,13,-12,-92.31
"Minnesota District Court, Polk County",1,9,-8,-88.89
"Minnesota District Court, Rice County",1,10,-9,-90
"Minnesota District Court, Scott County",3,24,-21,-87.5
"Minnesota District Court, Sherburne County",1,20,-19,-95
"Minnesota District Court, St Louis County",12,75,-63,-84
"Minnesota District Court, Stearns County",7,60,-53,-88.33
"Minnesota District Court, Stevens County",1,1,0,0
"Minnesota District Court, Wadena County",1,3,-2,-66.67
"Minnesota District Court, Washington County",10,65,-55,-84.62
"Nevada District Court, Clark County",8,62,-54,-87.1
"Ohio Court of Common Pleas, Montgomery County",39,13,26,200
Superior Court of Alaska,32,278,-246,-88.49
"Texas County Court, Collin County",38,1214,-1176,-96.87
"Texas County Court, Gregg County",15,159,-144,-90.57
"Texas District Court, Denton County",38,1140,-1102,-96.67
"Utah District Court, Box Elder County",5,3,2,66.67
"Utah District Court, Cache County",3,7,-4,-57.14
"Utah District Court, Carbon County",1,10,-9,-90
"Utah District Court, Davis County",11,68,-57,-83.82
"Utah District Court, Duchesne County",1,8,-7,-87.5
"Utah District Court, Iron County",7,11,-4,-36.36
"Utah District Court, Millard County",1,1,0,0
"Utah District Court, Salt Lake County",75,472,-397,-84.11
"Utah District Court, Sanpete County",2,0,2,Inf
"Utah District Court, Sevier County",1,3,-2,-66.67
"Utah District Court, Summit County",1,8,-7,-87.5
"Utah District Court, Tooele County",1,18,-17,-94.44
"Utah District Court, Uintah County",1,8,-7,-87.5
"Utah District Court, Utah County",21,120,-99,-82.5
"Utah District Court, Washington County",6,17,-11,-64.71
"Utah District Court, Weber County",19,77,-58,-75.32
"California Superior Court, Alameda County",0,22,-22,-100
"California Superior Court, Kern County",0,1,-1,-100
"California Superior Court, Orange County",0,2,-2,-100
"California Superior Court, San Bernardino County",0,1,-1,-100
"Court of Common Pleas of Pennsylvania, Westmoreland County",0,31,-31,-100
"Florida Circuit Court, Escambia County",0,237,-237,-100
"Florida Circuit Court, Sarasota County",0,173,-173,-100
"Minnesota District Court, Aitkin County",0,2,-2,-100
"Minnesota District Court, Becker County",0,6,-6,-100
"Minnesota District Court, Benton County",0,7,-7,-100
"Minnesota District Court, Brown County",0,2,-2,-100
"Minnesota District Court, Carlton County",0,7,-7,-100
"Minnesota District Court, Carver County",0,21,-21,-100
"Minnesota District Court, Cass County",0,4,-4,-100
"Minnesota District Court, Chippewa County",0,6,-6,-100
"Minnesota District Court, Chisago County",0,10,-10,-100
"Minnesota District Court, Clearwater County",0,1,-1,-100
"Minnesota District Court, Cottonwood County",0,2,-2,-100
"Minnesota District Court, Dodge County",0,7,-7,-100
"Minnesota District Court, Douglas County",0,15,-15,-100
"Minnesota District Court, Fillmore County",0,9,-9,-100
"Minnesota District Court, Goodhue County",0,8,-8,-100
"Minnesota District Court, Grant County",0,1,-1,-100
"Minnesota District Court, Houston County",0,5,-5,-100
"Minnesota District Court, Hubbard County",0,3,-3,-100
"Minnesota District Court, Kanabec County",0,8,-8,-100
"Minnesota District Court, Koochiching County",0,1,-1,-100
"Minnesota District Court, Lake County",0,1,-1,-100
"Minnesota District Court, Lincoln County",0,1,-1,-100
"Minnesota District Court, Martin County",0,6,-6,-100
"Minnesota District Court, Mcleod County",0,11,-11,-100
"Minnesota District Court, Meeker County",0,10,-10,-100
"Minnesota District Court, Morrison County",0,4,-4,-100
"Minnesota District Court, Nobles County",0,2,-2,-100
"Minnesota District Court, Pennington County",0,6,-6,-100
"Minnesota District Court, Pipestone County",0,2,-2,-100
"Minnesota District Court, Pope County",0,2,-2,-100
"Minnesota District Court, Redwood County",0,2,-2,-100
"Minnesota District Court, Renville County",0,3,-3,-100
"Minnesota District Court, Roseau County",0,3,-3,-100
"Minnesota District Court, Sibley County",0,5,-5,-100
"Minnesota District Court, Steele County",0,16,-16,-100
"Minnesota District Court, Swift County",0,1,-1,-100
"Minnesota District Court, Todd County",0,4,-4,-100
"Minnesota District Court, Wabasha County",0,9,-9,-100
"Minnesota District Court, Waseca County",0,6,-6,-100
"Minnesota District Court, Winona County",0,20,-20,-100
"Minnesota District Court, Wright County",0,33,-33,-100
"Minnesota District Court, Yellow Medicine County",0,2,-2,-100
"Superior Court of Delaware, New Castle County",0,2,-2,-100
"Superior Court of Delaware, Sussex County",0,1,-1,-100
"Utah District Court, Emery County",0,2,-2,-100
"Utah District Court, Grand County",0,3,-3,-100
"Utah District Court, Juab County",0,1,-1,-100
"Utah District Court, Wasatch County",0,6,-6,-100
